employee_id,employee_name,gender,age,department,designation,salary,experience,joining_date,city,state,manager_name,performance_rating,attendance_percentage,active
1,Employee_1,Male,42,Finance,Engineer,45000,5,02/01/2023,Pune,Gujarat,Neha,6,110,True
2,Employee_2,Female,-3,IT,Analyst,25000,-1,01-03-2023,Pune,Gujarat,,5,97,False
3,Employee_3,Male,24,IT,Manager,45000,5,2023-01-04,Ahmedabad,Rajasthan,Rohit,5,88,False
4,Employee_4,Male,36,Sales,Manager,-15000,1,05/01/2023,Ahmedabad,Delhi,Rohit,3,88,False
5,Employee_5,Female,-3,Finance,Executive,70000,5,01-06-2023,Pune,Maharashtra,Amit,6,88,True
6,Employee_6,Male,36,Sales,Analyst,70000,1,2023-01-07,Pune,Gujarat,,4,92,True
7,Employee_7,Male,30,Sales,Executive,25000,5,08/01/2023,Mumbai,Delhi,Rohit,6,110,False
8,Employee_8,Female,36,Marketing,Executive,45000,3,01-09-2023,Pune,Rajasthan,Rohit,6,110,False
9,Employee_9,Female,36,Sales,Executive,-15000,5,2023-01-10,Jaipur,Gujarat,Rohit,6,92,True
10,Employee_10,Female,36,Sales,Engineer,25000,5,11/01/2023,Jaipur,Rajasthan,,6,92,False
11,Employee_11,Female,24,Finance,Executive,45000,5,01-12-2023,Ahmedabad,Delhi,,4,88,True
12,Employee_12,Female,42,HR,Engineer,25000,-1,2023-01-13,Pune,Delhi,Rohit,5,110,True
13,Employee_13,Female,36,Sales,Analyst,25000,1,14/01/2023,Delhi,Maharashtra,Rohit,5,97,False
14,Employee_14,Female,24,Sales,Engineer,70000,3,01-15-2023,Pune,Delhi,Amit,6,88,False
15,Employee_15,Female,36,Marketing,Engineer,25000,5,2023-01-16,Jaipur,Delhi,,5,88,False
16,Employee_16,Male,30,Marketing,Executive,70000,3,17/01/2023,Ahmedabad,Rajasthan,Amit,4,88,True
17,Employee_17,Female,30,HR,Executive,25000,3,01-18-2023,Delhi,Rajasthan,Neha,4,97,True
18,Employee_18,Female,42,HR,Analyst,70000,5,2023-01-19,Pune,Gujarat,Neha,,92,False
19,Employee_19,Male,36,Finance,Executive,-15000,5,20/01/2023,Delhi,Delhi,Amit,5,97,False
20,Employee_20,Male,24,Sales,Analyst,-15000,1,01-21-2023,Mumbai,Rajasthan,Rohit,5,88,False
21,,Female,30,Sales,Analyst,70000,5,2023-01-22,Mumbai,Maharashtra,Amit,6,97,False
22,Employee_22,Male,-3,Marketing,Analyst,70000,5,23/01/2023,Ahmedabad,Delhi,Neha,5,97,False
23,Employee_23,Male,-3,Marketing,Engineer,25000,5,01-24-2023,Pune,Maharashtra,Amit,5,92,False
24,Employee_24,Female,36,IT,Analyst,45000,-1,2023-01-25,Ahmedabad,Delhi,Neha,3,97,False
25,Employee_25,Male,24,Marketing,Manager,25000,-1,26/01/2023,Ahmedabad,Maharashtra,Amit,6,97,False
26,Employee_26,Female,-3,IT,Manager,25000,-1,01-27-2023,Jaipur,Rajasthan,Rohit,4,88,True
27,Employee_27,Female,24,Sales,Analyst,45000,-1,2023-01-28,Delhi,Rajasthan,Rohit,3,97,True
28,Employee_28,Male,42,Marketing,Executive,-15000,1,29/01/2023,Ahmedabad,Gujarat,Amit,4,92,True
29,Employee_29,Female,42,HR,Engineer,-15000,5,01-30-2023,Pune,Rajasthan,,5,97,False
30,Employee_30,Female,-3,Finance,Engineer,-15000,5,2023-01-31,Delhi,Delhi,Amit,5,97,True
31,Employee_31,Male,24,Sales,Engineer,25000,5,01/02/2023,Ahmedabad,Maharashtra,Rohit,3,88,False
32,Employee_32,Female,42,Finance,Engineer,25000,5,02-02-2023,Ahmedabad,Maharashtra,Neha,4,92,True
33,Employee_33,Male,24,IT,Manager,45000,-1,2023-02-03,Ahmedabad,Maharashtra,Neha,5,97,False
34,Employee_34,Female,24,Finance,Manager,-15000,1,04/02/2023,Delhi,Delhi,Rohit,5,92,False
35,Employee_35,Female,24,Finance,Executive,70000,-1,02-05-2023,Mumbai,Rajasthan,Amit,5,110,False
36,Employee_36,Female,30,Marketing,Analyst,25000,-1,2023-02-06,Mumbai,Delhi,Amit,,110,True
37,Employee_37,Male,24,Sales,Engineer,70000,3,07/02/2023,Delhi,Gujarat,,4,92,True
38,Employee_38,Male,42,Sales,Engineer,25000,3,02-08-2023,Jaipur,Maharashtra,Neha,3,88,False
39,Employee_39,Male,36,IT,Engineer,-15000,3,2023-02-09,Ahmedabad,Maharashtra,Neha,6,88,False
40,Employee_40,Male,24,Finance,Manager,25000,1,10/02/2023,Pune,Delhi,Amit,4,88,False
41,Employee_41,Female,24,IT,Engineer,-15000,3,02-11-2023,Delhi,Gujarat,,6,92,False
42,,Female,-3,Marketing,Engineer,70000,-1,2023-02-12,Jaipur,Rajasthan,,6,88,True
43,Employee_43,Male,24,HR,Executive,70000,-1,13/02/2023,Ahmedabad,Rajasthan,Rohit,5,88,False
44,Employee_44,Male,42,IT,Manager,25000,3,02-14-2023,Delhi,Delhi,Amit,4,110,False
45,Employee_45,Female,36,Finance,Manager,45000,1,2023-02-15,Jaipur,Maharashtra,Neha,3,97,False
46,Employee_46,Female,36,IT,Executive,25000,-1,16/02/2023,Delhi,Maharashtra,Neha,6,110,True
47,Employee_47,Male,42,Finance,Manager,25000,-1,02-17-2023,Mumbai,Delhi,Amit,5,88,False
48,Employee_48,Male,24,HR,Analyst,70000,1,2023-02-18,Pune,Maharashtra,,4,92,False
49,Employee_49,Male,36,Sales,Analyst,70000,5,19/02/2023,Ahmedabad,Maharashtra,Neha,4,97,False
50,Employee_50,Female,-3,Finance,Executive,45000,3,02-20-2023,Mumbai,Maharashtra,Amit,3,97,False
51,Employee_51,Female,42,IT,Analyst,25000,3,2023-02-21,Delhi,Rajasthan,,5,92,True
52,Employee_52,Female,42,Sales,Engineer,25000,3,22/02/2023,Ahmedabad,Delhi,Rohit,6,92,False
53,Employee_53,Male,-3,HR,Executive,25000,5,02-23-2023,Ahmedabad,Rajasthan,,4,110,False
54,Employee_54,Female,24,Finance,Executive,45000,-1,2023-02-24,Ahmedabad,Maharashtra,Neha,,97,False
55,Employee_55,Male,24,Marketing,Manager,70000,3,25/02/2023,Mumbai,Rajasthan,Amit,6,92,True
56,Employee_56,Female,-3,Sales,Engineer,70000,-1,02-26-2023,Jaipur,Maharashtra,,4,92,True
57,Employee_57,Female,24,IT,Engineer,25000,3,2023-02-27,Ahmedabad,Gujarat,Amit,4,88,True
58,Employee_58,Male,42,IT,Manager,45000,3,28/02/2023,Jaipur,Delhi,Amit,5,92,False
