emp_id,emp_name,gender,age,department,designation,salary,experience,joining_date,city,state,manager_name,performance_rating,attendance_percentage,active,Experience_Level,attendance_status
3,Employee_3,Male,24,IT,Manager,45000,5,2023-01-04,Ahmedabad,Rajasthan,Rohit,5,88.0,false,Senior,Needs Improvement
8,Employee_8,Female,36,Marketing,Executive,45000,3,01-09-2023,Pune,Rajasthan,Rohit,6,110.0,false,Mid Level,Excellent
33,Employee_33,Male,24,IT,Manager,45000,0,2023-02-03,Ahmedabad,Maharashtra,Neha,5,97.0,false,Junior,Excellent
35,Employee_35,Female,24,Finance,Executive,70000,0,02-05-2023,Mumbai,Rajasthan,Amit,5,110.0,false,Junior,Excellent
38,Employee_38,Male,42,Sales,Engineer,25000,3,02-08-2023,Jaipur,Maharashtra,Neha,3,88.0,false,Mid Level,Needs Improvement
55,Employee_55,Male,24,Marketing,Manager,70000,3,25/02/2023,Mumbai,Rajasthan,Amit,6,92.0,true,Mid Level,Excellent
57,Employee_57,Female,24,IT,Engineer,25000,3,2023-02-27,Ahmedabad,Gujarat,Amit,4,88.0,true,Mid Level,Needs Improvement
58,Employee_58,Male,42,IT,Manager,45000,3,28/02/2023,Jaipur,Delhi,Amit,5,92.0,false,Mid Level,Excellent
80,Employee_80,Male,42,Marketing,Analyst,15000,0,03-22-2023,Jaipur,Rajasthan,Rohit,6,92.0,false,Junior,Excellent
86,Employee_86,Male,24,Sales,Executive,25000,0,03-28-2023,Jaipur,Rajasthan,Not Assigned,4,110.0,false,Junior,Excellent
90,Employee_90,Female,36,Finance,Manager,15000,0,2023-04-01,Jaipur,Gujarat,Amit,0,88.0,false,Junior,Needs Improvement
91,Employee_91,Male,25,Marketing,Manager,70000,0,02/04/2023,Ahmedabad,Delhi,Amit,6,92.0,true,Junior,Excellent
100,Employee_100,Female,42,IT,Executive,45000,5,11/04/2023,Pune,Rajasthan,Rohit,4,110.0,false,Senior,Excellent
101,Employee_101,Female,25,Sales,Analyst,70000,1,04-12-2023,Pune,Delhi,Amit,6,97.0,true,Junior,Excellent
117,Employee_117,Female,25,IT,Analyst,45000,3,2023-04-28,Delhi,Delhi,Not Assigned,5,110.0,false,Mid Level,Excellent
152,Employee_152,Male,25,Finance,Executive,25000,0,06-02-2023,Pune,Maharashtra,Not Assigned,6,88.0,true,Junior,Needs Improvement
182,Employee_182,Male,42,Marketing,Analyst,25000,5,07-02-2023,Ahmedabad,Rajasthan,Amit,5,88.0,true,Senior,Needs Improvement
234,Employee_234,Male,30,Sales,Analyst,25000,0,2023-08-23,Jaipur,Rajasthan,Rohit,0,92.0,false,Junior,Excellent
238,Employee_238,Female,30,Finance,Executive,25000,3,27/08/2023,Delhi,Gujarat,Rohit,4,88.0,true,Mid Level,Needs Improvement
240,Employee_240,Male,30,Finance,Engineer,25000,5,2023-08-29,Pune,Gujarat,Amit,5,97.0,true,Senior,Excellent
257,Employee_257,Male,30,Finance,Executive,25000,1,09-15-2023,Mumbai,Gujarat,Neha,4,88.0,true,Junior,Needs Improvement
260,Employee_260,Female,24,HR,Analyst,45000,3,09-18-2023,Jaipur,Maharashtra,Neha,5,88.0,true,Mid Level,Needs Improvement
268,Employee_268,Female,24,Marketing,Analyst,15000,1,26/09/2023,Pune,Delhi,Amit,5,110.0,true,Junior,Excellent
312,Employee_312,Female,24,HR,Executive,15000,3,2023-11-09,Pune,Gujarat,Amit,3,110.0,false,Mid Level,Excellent
321,Employee_321,Female,36,Marketing,Manager,45000,0,2023-11-18,Ahmedabad,Gujarat,Rohit,3,97.0,true,Junior,Excellent
324,Employee_324,Male,24,Finance,Engineer,45000,3,2023-11-21,Delhi,Rajasthan,Not Assigned,0,88.0,false,Mid Level,Needs Improvement
374,Employee_374,Female,42,HR,Engineer,25000,3,01-10-2024,Jaipur,Gujarat,Amit,5,110.0,false,Mid Level,Excellent
375,Employee_375,Male,24,IT,Executive,15000,1,2024-01-11,Delhi,Delhi,Not Assigned,6,92.0,false,Junior,Excellent
390,Employee_390,Male,36,IT,Engineer,45000,3,2024-01-26,Jaipur,Delhi,Neha,6,92.0,true,Mid Level,Excellent
396,Employee_396,Male,30,HR,Manager,15000,0,2024-02-01,Pune,Maharashtra,Rohit,0,97.0,true,Junior,Excellent
409,Employee_409,Female,30,Sales,Executive,45000,1,14/02/2024,Mumbai,Maharashtra,Amit,4,92.0,true,Junior,Excellent
428,Employee_428,Male,30,Finance,Executive,45000,0,03-04-2024,Delhi,Rajasthan,Neha,3,110.0,true,Junior,Excellent
486,Employee_486,Male,24,Marketing,Engineer,45000,1,2024-05-01,Delhi,Delhi,Neha,0,92.0,true,Junior,Excellent
495,Employee_495,Male,30,IT,Analyst,15000,0,2024-05-10,Ahmedabad,Gujarat,Not Assigned,6,110.0,false,Junior,Excellent
527,Employee_527,Male,24,Finance,Engineer,25000,1,06-11-2024,Delhi,Maharashtra,Neha,4,88.0,true,Junior,Needs Improvement
555,Employee_555,Male,25,IT,Engineer,25000,1,2024-07-09,Delhi,Rajasthan,Rohit,5,92.0,false,Junior,Excellent
586,Employee_586,Male,25,IT,Manager,45000,1,09/08/2024,Delhi,Delhi,Rohit,4,92.0,false,Junior,Excellent
606,Employee_606,Male,24,Finance,Engineer,15000,1,2024-08-29,Mumbai,Gujarat,Not Assigned,5,110.0,true,Junior,Excellent
607,Employee_607,Female,24,Sales,Manager,70000,0,30/08/2024,Mumbai,Gujarat,Rohit,4,92.0,true,Junior,Excellent
625,Employee_625,Male,24,HR,Engineer,15000,1,17/09/2024,Ahmedabad,Rajasthan,Not Assigned,5,92.0,false,Junior,Excellent
721,Employee_721,Female,30,HR,Executive,45000,3,22/01/2023,Pune,Rajasthan,Neha,3,92.0,false,Mid Level,Excellent
741,Employee_741,Male,25,IT,Executive,70000,3,2023-02-11,Delhi,Gujarat,Amit,6,110.0,false,Mid Level,Excellent
