emp_id,emp_name,department,designation,salary,attendance_percentage,Experience_Level,attendance_status,city,state
240,Employee_240,Finance,Engineer,25000,97.0,Senior,Excellent,Pune,Gujarat
374,Employee_374,HR,Engineer,25000,110.0,Mid Level,Excellent,Jaipur,Gujarat
390,Employee_390,IT,Engineer,45000,92.0,Mid Level,Excellent,Jaipur,Delhi
486,Employee_486,Marketing,Engineer,45000,92.0,Junior,Excellent,Delhi,Delhi
555,Employee_555,IT,Engineer,25000,92.0,Junior,Excellent,Delhi,Rajasthan
606,Employee_606,Finance,Engineer,15000,110.0,Junior,Excellent,Mumbai,Gujarat
625,Employee_625,HR,Engineer,15000,92.0,Junior,Excellent,Ahmedabad,Rajasthan
759,Employee_759,Finance,Engineer,70000,92.0,Junior,Excellent,Pune,Rajasthan
794,Employee_794,HR,Engineer,45000,97.0,Mid Level,Excellent,Jaipur,Delhi
809,Employee_809,Sales,Engineer,70000,92.0,Junior,Excellent,Jaipur,Delhi
857,Employee_857,Marketing,Engineer,25000,110.0,Junior,Excellent,Mumbai,Maharashtra
877,Employee_877,Marketing,Engineer,25000,97.0,Mid Level,Excellent,Jaipur,Gujarat
997,Employee_997,IT,Engineer,70000,92.0,Junior,Excellent,Delhi,Gujarat
1010,Employee_1010,IT,Engineer,15000,97.0,Junior,Excellent,Delhi,Rajasthan
1034,Employee_1034,Sales,Engineer,70000,92.0,Mid Level,Excellent,Delhi,Maharashtra
1083,Employee_1083,Finance,Engineer,70000,92.0,Junior,Excellent,Mumbai,Gujarat
1122,Employee_1122,Finance,Engineer,15000,92.0,Junior,Excellent,Jaipur,Maharashtra
1135,Employee_1135,Sales,Engineer,70000,97.0,Mid Level,Excellent,Delhi,Rajasthan
1167,Employee_1167,HR,Engineer,15000,97.0,Junior,Excellent,Delhi,Maharashtra
1266,Employee_1266,IT,Engineer,70000,97.0,Senior,Excellent,Mumbai,Gujarat
32,Employee_32,Finance,Engineer,25000,92.0,Senior,Excellent,Ahmedabad,Maharashtra
37,Employee_37,Sales,Engineer,70000,92.0,Mid Level,Excellent,Delhi,Gujarat
129,Employee_129,IT,Engineer,15000,97.0,Junior,Excellent,Ahmedabad,Gujarat
362,Employee_362,Sales,Engineer,70000,92.0,Junior,Excellent,Mumbai,Maharashtra
431,Employee_431,Finance,Engineer,70000,97.0,Junior,Excellent,Pune,Rajasthan
621,Employee_621,HR,Engineer,70000,97.0,Junior,Excellent,Pune,Gujarat
972,Employee_972,IT,Engineer,70000,110.0,Senior,Excellent,Mumbai,Rajasthan
1046,Employee_1046,Marketing,Engineer,70000,110.0,Senior,Excellent,Delhi,Delhi
1131,Employee_1131,IT,Engineer,70000,110.0,Senior,Excellent,Pune,Delhi
1172,Employee_1172,HR,Engineer,45000,97.0,Junior,Excellent,Delhi,Maharashtra
10,Employee_10,Sales,Engineer,25000,92.0,Senior,Excellent,Jaipur,Rajasthan
23,Employee_23,Marketing,Engineer,25000,92.0,Senior,Excellent,Pune,Maharashtra
68,Employee_68,Marketing,Engineer,45000,92.0,Senior,Excellent,Delhi,Gujarat
138,Employee_138,Finance,Engineer,70000,110.0,Senior,Excellent,Ahmedabad,Delhi
158,Employee_158,IT,Engineer,45000,92.0,Junior,Excellent,Pune,Rajasthan
250,Employee_250,HR,Engineer,25000,97.0,Junior,Excellent,Pune,Gujarat
335,Employee_335,Sales,Engineer,25000,97.0,Mid Level,Excellent,Pune,Delhi
383,Employee_383,Sales,Engineer,15000,92.0,Junior,Excellent,Ahmedabad,Gujarat
421,Employee_421,HR,Engineer,15000,110.0,Senior,Excellent,Mumbai,Gujarat
472,Employee_472,HR,Engineer,15000,110.0,Junior,Excellent,Delhi,Maharashtra
541,Employee_541,HR,Engineer,25000,110.0,Mid Level,Excellent,Delhi,Delhi
569,Employee_569,Sales,Engineer,45000,97.0,Senior,Excellent,Pune,Gujarat
641,Employee_641,Marketing,Engineer,25000,110.0,Senior,Excellent,Jaipur,Gujarat
774,Employee_774,Sales,Engineer,15000,110.0,Junior,Excellent,Delhi,Rajasthan
827,Employee_827,HR,Engineer,25000,97.0,Senior,Excellent,Mumbai,Delhi
837,Employee_837,Sales,Engineer,25000,97.0,Senior,Excellent,Jaipur,Maharashtra
