transaction_id,transaction_timestamp,sender_bank,receiver_bank,sender_upi,receiver_upi,amount,transaction_type,transaction_status,city,state,device_id,response_time_ms,failure_reason
2bbc7344-a5dc-4ffb-bff0-171c1c7620c0,2026-07-08 14:04:52,HDFC,SBI,ankit557@okhdfc,rohit684@oksbi,7090,P2P,SUCCESS,Indore,Madhya Pradesh,DEV100111,2366,
61f432e0-bd55-4cfe-b14d-2beec8fd638f,2026-06-15 06:45:32,ICICI,HDFC,priya403@icici,manish738@okhdfc,15597,P2P,SUCCESS,Mumbai,Maharashtra,DEV100174,1016,
bb370089-0c45-4264-bc56-15f741cbef38,2026-06-25 21:59:21,ICICI,SBI,manish200@icici,ankit279@oksbi,40824,Merchant,SUCCESS,Jaipur,Rajasthan,DEV100122,217,
62fb68f6-15e6-4ee9-9478-f772f83d9e33,2026-06-18 15:32:26,ICICI,HDFC,neha849@icici,arjun756@okhdfc,18156,Recharge,SUCCESS,Hyderabad,Telangana,DEV100003,473,
79b0fb85-a310-48a2-957b-92e38f6e789f,2026-07-06 08:11:01,HDFC,Axis,rohit687@okhdfc,arjun923@axis,24257,P2P,SUCCESS,Pune,Maharashtra,DEV100140,2425,
e0edde04-9c30-43aa-8538-c800a9a3c1ff,2026-06-30 21:33:28,Axis,HDFC,arjun816@axis,pooja764@okhdfc,33603,P2P,SUCCESS,Bangalore,Karnataka,DEV100014,1272,
c0de5084-2cb8-412b-976e-79202956f294,2026-07-06 02:01:28,SBI,Axis,kartik629@oksbi,divya195@axis,14605,Bill Payment,SUCCESS,Pune,Maharashtra,DEV100034,1279,
3069fc99-7521-402d-8ca6-a10ecdb5cd87,2026-07-04 06:39:40,HDFC,Axis,pooja190@okhdfc,priya798@axis,17898,Recharge,SUCCESS,Indore,Madhya Pradesh,DEV100174,1996,
95276c83-5a4c-47b5-96f8-02fa3897504c,2026-06-14 14:36:28,Axis,SBI,karan234@axis,kartik537@oksbi,21863,P2P,SUCCESS,Hyderabad,Telangana,DEV100193,989,
eefed37e-8689-43d8-a13a-bbca7b1e841f,2026-06-17 15:31:51,Axis,ICICI,riya328@axis,prachi153@icici,,Recharge,SUCCESS,Mumbai,Maharashtra,DEV100088,469,
07cbd6ea-fe1f-41ea-98a8-fc62057aae5d,2026-06-24 05:54:06,HDFC,ICICI,sneha169@okhdfc,priya178@icici,46158,P2P,SUCCESS,Pune,Maharashtra,DEV100021,230,
a56c9162-6650-48df-a4fd-3299c218bd93,2026-07-08 11:20:12,ICICI,Axis,karan297@icici,prachi171@axis,39386,Merchant,SUCCESS,Indore,Madhya Pradesh,DEV100020,1759,
450bc4e6-f90b-4fec-872e-109c2e9cc283,2026-07-04 02:43:34,ICICI,HDFC,prachi567@icici,arjun299@okhdfc,34891,P2P,SUCCESS,Indore,Madhya Pradesh,DEV100109,1565,
dedf2da1-ed71-45fa-82ac-7e11b814cdd2,2026-07-04 12:44:32,ICICI,Axis,vikas259@icici,rohit449@axis,10811,P2P,SUCCESS,Jaipur,Rajasthan,DEV100058,793,
95875a93-4050-4be4-84e2-4fcd7d9dbc75,2026-06-21 22:50:13,SBI,Axis,priya696@oksbi,vikas490@axis,23932,P2P,SUCCESS,Jaipur,Rajasthan,DEV100084,274,
5713772b-93e5-4a05-bca9-e10d46d4ac4c,2026-06-16 09:20:40,SBI,Axis,ankit826@oksbi,ankit784@axis,23771,Bill Payment,SUCCESS,Jaipur,Rajasthan,DEV100127,967,
a9dc8558-01de-4370-ac56-28ffd878a40b,2026-06-27 23:56:26,ICICI,HDFC,simran181@icici,vikas845@okhdfc,35696,Recharge,SUCCESS,Jaipur,Rajasthan,DEV100177,646,
e9ebb482-80bf-45ae-9c4c-604268147ca2,2026-07-03 23:06:16,HDFC,Axis,simran311@okhdfc,arjun342@axis,19868,P2P,SUCCESS,Ahmedabad,Gujarat,DEV100176,1642,
b281679a-0938-437b-80e7-dcf9e51d2d84,2026-06-21 19:43:50,SBI,HDFC,arjun862@oksbi,prachi972@okhdfc,3088,P2P,SUCCESS,Hyderabad,Telangana,DEV100084,2903,
47833c0d-04c2-4076-8809-992eab0d673e,2026-06-29 17:01:39,HDFC,Axis,priya324@okhdfc,divya949@axis,33789,P2P,SUCCESS,Jaipur,Rajasthan,DEV100170,477,
02762a10-8984-490b-b234-a89e295117fb,2026-06-21 17:04:21,SBI,ICICI,riya868@oksbi,priya347@icici,9848,Merchant,SUCCESS,Bangalore,Karnataka,DEV100030,1525,
f4beb38a-7e3d-4686-a50e-5f4dbb8b9975,2026-06-24 23:39:02,ICICI,HDFC,kartik662@icici,harsh122@okhdfc,19969,Merchant,SUCCESS,Bangalore,Karnataka,DEV100023,1098,
c8c0abe5-7aa4-43b2-b183-b0993b74ca8a,2026-06-19 18:56:40,ICICI,SBI,priya719@icici,harsh770@oksbi,35428,P2P,SUCCESS,Delhi,Delhi,DEV100195,933,
7dd32c5b-e2e0-4df0-b183-f792f3903b32,2026-07-09 03:59:52,ICICI,Axis,riya311@icici,divya509@axis,19968,P2P,SUCCESS,Hyderabad,Telangana,DEV100158,1962,
27bb44a1-e11c-4e28-9b7d-3e56da3d3484,2026-07-06 11:33:24,SBI,HDFC,nisha254@oksbi,manish119@okhdfc,43974,Recharge,SUCCESS,Hyderabad,Telangana,DEV100122,1732,
29fb4997-5692-4449-a7a3-5ac5a89017e2,2026-07-01 06:51:26,ICICI,SBI,ankit930@icici,kapil322@oksbi,45291,P2P,SUCCESS,Pune,Maharashtra,DEV100030,2613,
db806f87-5da8-45c5-b6fc-3ebed15cc143,2026-06-22 17:33:45,HDFC,SBI,vikas329@okhdfc,kapil506@oksbi,10232,Bill Payment,SUCCESS,Bangalore,Karnataka,DEV100037,203,
25ce9ebb-e704-49bb-b20b-11e3f52e9ba5,2026-07-12 13:36:02,ICICI,SBI,nisha707@icici,kapil640@oksbi,38570,P2P,SUCCESS,Delhi,Delhi,DEV100051,1811,
3e7c6a8e-64e4-444e-b2cf-e0d9b77ed05f,2026-06-24 09:42:47,HDFC,SBI,pooja613@okhdfc,vikas132@oksbi,17693,Recharge,SUCCESS,Delhi,Delhi,DEV100199,2284,
a03a5412-bb26-401b-80c2-6869b1e63617,2026-07-05 22:44:52,Axis,SBI,kapil523@axis,sneha442@oksbi,49701,P2P,SUCCESS,Ahmedabad,Gujarat,DEV100043,2314,
a01d4e7a-8e4a-419d-a497-ac4c18ad6577,2026-07-09 19:27:13,ICICI,Axis,sneha711@icici,kartik361@axis,21909,P2P,SUCCESS,Delhi,Delhi,DEV100169,899,
aaacc3e0-59f5-4380-87fb-ebcd912ddf3d,2026-06-22 06:15:24,SBI,HDFC,arjun523@oksbi,nisha374@okhdfc,34657,Recharge,SUCCESS,Indore,Madhya Pradesh,DEV100113,2369,
1f93cfc1-7932-45e2-a51f-966654b71b5c,2026-07-04 19:19:30,Axis,ICICI,karan991@axis,karan440@icici,17159,Recharge,SUCCESS,Delhi,Delhi,DEV100052,943,
1f01ee55-4fb5-4c07-bb75-6e6cd2bba8dc,2026-07-06 22:11:04,HDFC,ICICI,kapil784@okhdfc,ankit280@icici,23980,Merchant,SUCCESS,Jaipur,Rajasthan,DEV100170,1651,
2196048a-511e-47f0-a24b-6227a9d2d7e8,2026-06-16 10:59:37,SBI,Axis,rahul199@oksbi,rohit362@axis,33547,Bill Payment,SUCCESS,Delhi,Delhi,DEV100100,615,
4d977e3a-55f6-44f0-a881-e6734f976719,2026-06-28 06:45:51,SBI,ICICI,priya713@oksbi,karan524@icici,24755,Merchant,SUCCESS,Indore,Madhya Pradesh,DEV100131,2929,
29d07d28-4c43-4e80-8c2d-34e86a984c42,2026-07-05 09:59:07,ICICI,SBI,kapil594@icici,priya609@oksbi,42934,Merchant,SUCCESS,Indore,Madhya Pradesh,DEV100168,1807,
1d02c5ac-e222-427c-8c96-22d757e21a4a,2026-06-16 13:47:47,SBI,HDFC,riya319@oksbi,rohit164@okhdfc,30500,Merchant,SUCCESS,Pune,Maharashtra,DEV100028,1686,
de745bad-2ff7-4a85-8916-4dc55f216aba,2026-06-16 03:27:43,ICICI,HDFC,prachi594@icici,prachi865@okhdfc,24607,Merchant,SUCCESS,Ahmedabad,Gujarat,DEV100122,1702,
97e8e43c-0f62-4a3d-aee0-fafd5a4ecaf3,2026-07-07 04:18:11,HDFC,SBI,simran312@okhdfc,sneha637@oksbi,49268,P2P,SUCCESS,Pune,Maharashtra,DEV100083,2582,
3261107f-9921-47b0-bea7-2f62a8e8c3dd,2026-07-08 12:06:12,Axis,ICICI,karan977@axis,amit226@icici,16824,Recharge,SUCCESS,Hyderabad,Telangana,DEV100143,805,
b88cd088-3930-42ce-9b2b-ac5ddf75cfac,2026-06-29 07:47:24,HDFC,SBI,simran526@okhdfc,priya849@oksbi,25259,P2P,SUCCESS,Ahmedabad,Gujarat,DEV100157,426,
b6caf826-a787-4fae-8902-2a5b209b98c5,2026-06-21 06:29:09,HDFC,SBI,neha240@okhdfc,divya528@oksbi,5459,P2P,SUCCESS,Bangalore,Karnataka,DEV100094,111,
9064a59f-1e3e-47ba-8a52-00bd3a7b5c9b,2026-06-13 20:34:54,ICICI,Axis,rahul942@icici,kapil945@axis,25065,P2P,SUCCESS,Bangalore,Karnataka,DEV100073,1291,
8965c981-9082-4302-80ea-a6143fb8ec8f,2026-07-03 20:42:48,SBI,Axis,rohit466@oksbi,riya723@axis,13260,Bill Payment,SUCCESS,Bangalore,Karnataka,DEV100057,441,
9408b4f9-bd5c-44fd-9d69-203c9d85000b,2026-07-08 17:59:25,HDFC,SBI,nisha786@okhdfc,prachi390@oksbi,22542,Merchant,SUCCESS,Delhi,Delhi,DEV100134,858,
7c1d8df8-682b-4887-a79d-e6ead022cfdf,2026-06-16 02:37:40,ICICI,Axis,nisha777@icici,arjun809@axis,8568,Bill Payment,SUCCESS,Jaipur,Rajasthan,DEV100144,2570,
738577eb-907d-411d-a632-b0fd92d700b9,2026-06-27 08:36:52,ICICI,Axis,manish495@icici,divya206@axis,30587,Recharge,SUCCESS,Mumbai,Maharashtra,DEV100041,128,
f0e3bb3e-0218-443e-89d8-622ecd22075a,2026-06-25 08:07:11,Axis,HDFC,rohit478@axis,prachi759@okhdfc,44444,P2P,SUCCESS,Indore,Madhya Pradesh,DEV100068,1462,
2ac7b988-5679-4866-9b38-230852fe8080,2026-06-13 05:30:30,SBI,ICICI,vikas645@oksbi,kartik154@icici,2240,P2P,SUCCESS,Pune,Maharashtra,DEV100077,2439,
d530b8ad-b6f2-4354-a567-5701e0e7d1e0,2026-06-22 12:20:46,HDFC,SBI,arjun631@okhdfc,karan482@oksbi,44237,Bill Payment,SUCCESS,Jaipur,Rajasthan,DEV100156,325,
019cc231-167c-4387-ad58-7c15848ac1e2,2026-06-18 09:18:04,SBI,HDFC,karan309@oksbi,riya963@okhdfc,25390,P2P,SUCCESS,Ahmedabad,Gujarat,DEV100046,1557,
6ebeb13a-2a43-49f0-ae7b-dfdea1d68db5,2026-06-14 03:19:21,HDFC,Axis,karan580@okhdfc,neha659@axis,27742,Recharge,SUCCESS,Ahmedabad,Gujarat,DEV100026,1813,
b4b7f918-44b7-474a-864d-be666807cf2d,2026-07-08 18:09:58,SBI,HDFC,harsh897@oksbi,prachi166@okhdfc,4159,P2P,SUCCESS,Hyderabad,Telangana,DEV100184,362,
04d1d23c-cca3-4fa8-ba3d-a08ad53398b4,2026-07-02 13:19:22,SBI,Axis,manish305@oksbi,ankit304@axis,3601,Merchant,SUCCESS,Jaipur,Rajasthan,DEV100033,774,
9e28a72c-96ad-490b-9e0b-af95dc885431,2026-06-18 18:33:46,HDFC,ICICI,divya267@okhdfc,vikas906@icici,21234,Merchant,FAILED,Hyderabad,Telangana,DEV100190,360,Bank Server Down
a4d4955a-b2a7-4591-a293-98f01fd61d27,2026-06-29 03:30:47,HDFC,Axis,manish680@okhdfc,rahul190@axis,23221,Recharge,SUCCESS,Delhi,Delhi,DEV100059,2147,
1fb3219f-ef6a-4bfd-bbd3-4f9b231dbbb5,2026-06-16 09:19:45,HDFC,SBI,arjun305@okhdfc,priya468@oksbi,39915,Merchant,SUCCESS,Mumbai,Maharashtra,DEV100134,2828,
c930ef57-6362-4a1c-9902-b9b12054eae0,2026-07-04 08:52:32,Axis,ICICI,simran967@axis,riya759@icici,,P2P,SUCCESS,Ahmedabad,Gujarat,DEV100038,2233,
7f4d2fed-28d4-43ea-ab0e-6982fdf7bad8,2026-06-30 17:09:50,SBI,ICICI,priya536@oksbi,karan197@icici,10560,Merchant,SUCCESS,Jaipur,Rajasthan,DEV100011,655,
bec23a10-50cd-48a4-b02d-49e2f720fc8b,2026-06-19 19:15:13,ICICI,HDFC,prachi938@icici,harsh210@okhdfc,10747,P2P,SUCCESS,Pune,Maharashtra,DEV100178,345,
